Company name;Website;City/location;Segment (Basket A);What they make;Revenue band (estimate);Decision maker ;E1: Producer;E2:Accessible;C3 differentiated;C4 Decision- Maker;C5 Tailwind;C6 Growth;C7 Systems;C8 Succession;Total;Verdict;Personalization Hook
Aceto Chem;https://www.acetochem.com;Surat;Fine Chemicals;Organic and fine chemicals for industrial applications;Unknown;N/A;PASS (Established exporter manufacturer);PASS (HQ,Manufacturing office In India);"Moderate (10)-Manufacturer of dye intermediates; exports to USA, Argentina, Egypt, Japan and Europe; ISO-certified manufacturing; advanced laboratory testing (GC, HPTLC, TLC)";"Moderate (7,5)-Active management team; CEO identified; long operating history since 1976";Strong (15)- Specialty chemicals and dye intermediates remain part of India's specialty chemical value chain;"Moderate (7,5)-Export footprint; active manufacturing business";"Moderate (10)- ISO-certified manufacturing; quality-control laboratories; international exports";Moderate (7,5)- CEO and directors identified;57,5;C-Band;Generic dye manufacturing, creating other company product 
Adinath Tex-Chem;https://www.adinath.co.in;Surat;Textile Chemicals;Textile processing and specialty chemical solutions;Unknown;N/A;PASS (Capacity expansions reported);PASS (HQ,Manufacturing office In India);Moderate (10)-Textile chemical specialization;Moderate (7,5)-Manufacturing scale-up history;Strong (15)-Textile processing demand;Strong (15)- Documented capacity expansion;Moderate (10)-Manufacturing systems likely;Weak (0)-N/A;57,5;C-Band;Generic product  
Suman Chemical Industries;https://www.sumanchem.com;Surat;Specialty Chemicals;Adhesives textile auxiliaries and specialty chemicals;Unknown;N/A;PASS ( ISO certified manufacturer);PASS (HQ,Manufacturing office In India);Moderate (10)-Chemical manufacturing activity identified;Moderate (7,5)-Operating manufacturing company;Strong (15)- Indian specialty chemical ecosystem;Strong (15)-Company remains active;Moderate (10)- N/A;Weak (0)-N/A;57,5;C-Band;Generic product  
GK Biochemical Corporation;https://www.gkbiochemical.com;Surat;Industrial Enzymes & Chemicals;Textile enzymes agro chemicals and specialty formulations;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Moderate (10)-Chemical formulation expertise;Moderate (7,5)-Manufacturing and trading capability;Strong (15)-Specialty chemicals tailwinds;Moderate (7,5)-Ongoing activity visible;Moderate (10)-Production systems implied;Weak (0)-N/A;50;C-Band;Generic product  
Hariram Engineering;https://www.hariramengineering.com;Surat;Packaging Machinery;Packaging printing lamination and disposable product machinery;Unknown;N/A;PASS ( 3000+ installations);PASS (Manufacturing office in India);Moderate (10)-Packaging machinery specialization;Moderate (7,5)-Long operating history;Strong (15)-Packaging automation trend;Moderate (7,5)-Steady installation growth;Moderate (10)-Operational systems implied;Weak (0)-N/A;50;C-Band;Generic product although uses automation to manufacture products 
Yantra Engineering;https://www.exportersindia.com/yantraengineering;Surat;Textile Machine Components;Cone winders warping and textile machine accessories;Unknown;N/A;PASS ( Established export manufacturer);PASS (Manufacturing office in India);Moderate (10)-Textile machine accessories niche;Moderate (7,5)-Manufacturing continuity;Strong (15)-Textile export ecosystem support;Moderate (7,5)-Exporter activity visible;Moderate (10)-Structured production likely;Weak (0)-N/A;50;C-Band;Generic product
APL Corporation;https://www.aplcorporation.com;Surat;Fiber Yarn Fabric;Fiber yarn and textile manufacturing;Unknown;N/A;PASS (Integrated textile operations);PASS (HQ,Manufacturing office In India);Moderate (10)-Manufacturing activity identified;Moderate (7,5)-Operating business;Strong (15)- Indian manufacturing sector;Moderate (7,5)-Visible company activity;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic product
Bhatia Colour Company (VAPCHEM);https://www.vapchem.com;Surat;Textile Chemicals;Textile dyes chemicals and construction chemicals;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (HQ,Manufacturing office In India);Moderate (10)-Established textile chemistry expertise;Moderate (7,5)-Long operating history;Strong (15)-Textile chemical demand;Moderate (7,5)-Longevity but limited disclosures;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic product
Maruti Packaging;https://www.marutipack.com;Surat;Corrugated Packaging;Corrugated boxes mono cartons and industrial packaging solutions;Unknown;N/A;PASS ( Manufacturer and trader scale operation);PASS (Manufacturing office in India);Moderate (10)-Custom packaging capability;Moderate (7,5)-Small structured manufacturing unit;Strong (15)-E-commerce and packaging demand;Moderate (7,5)-Operating growth indications;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Differentiation of product design 
ORA Chem;https://www.orachem.in;Surat;Textile Chemicals;Textile auxiliary chemicals and finishing chemicals;Unknown;N/A;PASS ( Regional manufacturer supplier);PASS (HQ,Manufacturing office In India);Moderate (10)-Textile auxiliaries niche;Moderate (7,5)-Manufacturing operation;Strong (15)-Textile ecosystem growth;Moderate (7,5)-Regional growth only;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
Shree Laxmi Engineering Works;https://www.laxmiengworks.com;Surat;Textile Machinery;Textile spinning weaving and dyeing machinery;Unknown;N/A;PASS ( Engineering SME manufacturer);PASS (Manufacturing office in India);Moderate (10)-Textile machinery specialization;Moderate (7,5)-Engineering SME leadership;Strong (15)-Textile machinery demand;Moderate (7,5)-Stable operations;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
Shree Ram Polychem Surat Unit;https://www.srpcpl.com;Surat;Polymer Chemicals;Industrial polymer additives and compounds;Unknown;N/A;PASS ( Mid-scale industrial chemical producer);PASS (Manufacturing office in India);Moderate (10)-Polymer chemical specialization;Moderate (7,5)-SME leadership;Strong (15)-Plastic & polymer demand;Moderate (7,5)-Moderate growth signals;Weak (0)- N/A;Weak (0)-N/A;40;C-Band;Generic
25;;;;;;;;;;;;;;;;;
